computers_know,assign_computers_agency_incl._jokes,llms_understand,spell_check_understands,work_in_tech,social_science_training
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Yes,Yes,Yes,Yes,Yes
TRUE,Only ironically,Yes,Yes,Yes,Yes
TRUE,No,No,Yes,Yes,Yes
TRUE,Yes,Maybe,Yes,Yes,Yes
TRUE,Yes,Yes,No,Yes,Yes
TRUE,Yes,Yes,No,Yes,Yes
TRUE,Yes,Yes,No,Yes,Yes
TRUE,Yes,Yes,No,Yes,Yes
TRUE,Yes,Yes,No,Yes,Yes
TRUE,Only ironically,Yes,No,Yes,Yes
TRUE,Only ironically,Yes,No,Yes,Yes
TRUE,No,Yes,No,Yes,Yes
TRUE,No,Yes,No,Yes,Yes
TRUE,No,Yes,No,Yes,Yes
TRUE,No,Yes,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Yes,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,Only ironically,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
FALSE,No,No,No,Yes,Yes
TRUE,Yes,Maybe,No,Yes,Yes
TRUE,Yes,Maybe,No,Yes,Yes
TRUE,Yes,Maybe,No,Yes,Yes
TRUE,Yes,Maybe,No,Yes,Yes
TRUE,Yes,Maybe,No,Yes,Yes
TRUE,Only ironically,Maybe,No,Yes,Yes
TRUE,Only ironically,Maybe,No,Yes,Yes
TRUE,Yes,Yes,Maybe,Yes,Yes
TRUE,Yes,No,Maybe,Yes,Yes
TRUE,Yes,No,Maybe,Yes,Yes
TRUE,Yes,No,Maybe,Yes,Yes
TRUE,Yes,Maybe,Maybe,Yes,Yes
TRUE,Yes,Maybe,Maybe,Yes,Yes
TRUE,Only ironically,Maybe,Maybe,Yes,Yes
TRUE,Only ironically,Maybe,Maybe,Yes,Yes
TRUE,Yes,No,Yes,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Yes,No,No,No,Yes
FALSE,Only ironically,No,No,No,Yes
FALSE,Only ironically,No,No,No,Yes
FALSE,Only ironically,No,No,No,Yes
FALSE,Only ironically,No,No,No,Yes
FALSE,Only ironically,No,No,No,Yes
FALSE,No,No,No,No,Yes
FALSE,No,No,No,No,Yes
TRUE,Yes,Maybe,No,No,Yes
TRUE,Yes,Maybe,No,No,Yes
FALSE,Only ironically,,No,No,Yes
